Material,GID
IR64 SWEET promoter mutant lines,301016295
IR64 SWEET promoter mutant lines,301016297
IR64 SWEET promoter mutant lines,301016299
IR64 SWEET promoter mutant lines,301016301
IR64 SWEET promoter mutant lines,301016303
IR64 SWEET promoter mutant lines,301016305
IR64 SWEET promoter mutant lines,301016307
IR64 SWEET promoter mutant lines,301016309
IR64 SWEET promoter mutant lines,301016311
IR64 SWEET promoter mutant lines,301016313
IR64 SWEET promoter mutant lines,301016315
IR64 SWEET promoter mutant lines,301016317
Ciherang Sub1 SWEET promoter mutant lines,301017234
Ciherang Sub1 SWEET promoter mutant lines,301017236
Ciherang Sub1 SWEET promoter mutant lines,301017237
Ciherang Sub1 SWEET promoter mutant lines,301017239
Ciherang Sub1 SWEET promoter mutant lines,301017241
Ciherang Sub1 SWEET promoter mutant lines,301017243
Ciherang Sub1 SWEET promoter mutant lines,301017245
Ciherang Sub1 SWEET promoter mutant lines,301017247
